,Rooms,Distance,Postcode,Bathroom,Car,Landsize,Lattitude,Longtitude,Propertycount,Year,Month,Type_t,Type_u,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Price
4595,4,9.2,3146.0,2.0,2.0,652.0,-37.8479,145.0557,10412.0,2016,12,0,0,0,0,0,0,1,0,0,2376000.0
4596,5,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,12,0,0,0,0,0,0,1,0,0,2505000.0
4597,3,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,12,0,0,0,0,0,0,1,0,0,1230000.0
4598,3,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,12,0,1,0,0,0,0,1,0,0,1080000.0
4600,2,9.2,3146.0,1.0,0.0,251.0,-37.8627,145.0402,10412.0,2016,12,0,0,0,0,0,0,1,0,0,1020000.0
4601,3,9.2,3146.0,1.0,2.0,504.0,-37.8541,145.0544,10412.0,2016,12,0,0,0,0,0,0,1,0,0,1456000.0
4603,3,9.2,3146.0,2.0,3.0,607.0,-37.8534,145.0735,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1875000.0
4605,3,9.2,3146.0,3.0,2.0,385.0,-37.8524,145.0425,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1430000.0
4608,6,9.2,3146.0,2.0,2.0,0.0,-37.8519,145.091,10412.0,2016,5,0,0,0,0,0,0,1,0,0,2300000.0
4609,1,9.2,3146.0,1.0,1.0,745.0,-37.8505,145.0459,10412.0,2016,5,1,0,0,0,0,0,1,0,0,345000.0
4610,5,9.2,3146.0,3.0,1.0,696.0,-37.8563,145.0709,10412.0,2016,5,0,0,0,0,0,0,1,0,0,2000000.0
4611,4,9.2,3146.0,0.0,0.0,769.0,-37.8628,145.0734,10412.0,2016,5,0,0,0,0,0,0,1,0,0,1550000.0
4612,3,9.2,3146.0,2.0,4.0,1005.0,-37.8528,145.0487,10412.0,2016,5,0,0,0,0,0,0,1,0,0,1625000.0
4614,2,9.2,3146.0,1.0,1.0,0.0,-37.8559,145.049,10412.0,2016,5,0,1,0,0,0,0,1,0,0,480000.0
4617,2,9.2,3146.0,1.0,1.0,84.0,-37.8517,145.0796,10412.0,2016,10,1,0,0,0,0,0,1,0,0,585000.0
4618,5,9.2,3146.0,3.0,2.0,650.0,-37.8534,145.0785,10412.0,2016,10,0,0,0,0,0,0,1,0,0,1960000.0
4619,4,9.2,3146.0,3.0,1.0,650.0,-37.8581,145.078,10412.0,2016,10,0,0,0,0,0,0,1,0,0,1700000.0
4621,2,9.2,3146.0,1.0,1.0,0.0,-37.8566,145.0454,10412.0,2016,10,0,1,0,0,0,0,1,0,0,680000.0
4623,4,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,10,0,0,0,0,0,0,1,0,0,2225000.0
4627,3,9.2,3146.0,2.0,2.0,278.0,-37.8574,145.0496,10412.0,2016,10,1,0,0,0,0,0,1,0,0,1220000.0
4628,3,9.2,3146.0,2.0,2.0,328.0,-37.8529,145.0605,10412.0,2016,10,0,0,0,0,0,0,1,0,0,1375000.0
4630,2,9.2,3146.0,1.0,2.0,334.0,-37.8577,145.0576,10412.0,2016,10,0,0,0,0,0,0,1,0,0,920000.0
4636,2,9.2,3146.0,1.0,1.0,1069.0,-37.8547,145.0457,10412.0,2016,7,0,1,0,0,0,0,1,0,0,382000.0
4637,2,9.2,3146.0,0.0,0.0,0.0,-37.85,145.0465,10412.0,2016,7,0,1,0,0,0,0,1,0,0,545000.0
4638,2,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,7,0,1,0,0,0,0,1,0,0,405000.0
4639,4,9.2,3146.0,2.0,2.0,342.0,-37.8622,145.0634,10412.0,2016,7,1,0,0,0,0,0,1,0,0,1350000.0
4640,2,9.2,3146.0,1.0,1.0,412.0,-37.8541,145.05100000000002,10412.0,2016,7,0,0,0,0,0,0,1,0,0,1280000.0
4641,2,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,9,0,1,0,0,0,0,1,0,0,585000.0
4643,3,9.2,3146.0,1.0,2.0,652.0,-37.8552,145.0785,10412.0,2016,9,0,0,0,0,0,0,1,0,0,1825000.0
4645,5,9.2,3146.0,4.0,4.0,802.0,-37.8627,145.0719,10412.0,2016,9,0,0,0,0,0,0,1,0,0,2825000.0
4646,3,9.2,3146.0,2.0,4.0,885.0,-37.8577,145.0421,10412.0,2016,9,0,0,0,0,0,0,1,0,0,2825000.0
4647,2,9.2,3146.0,1.0,2.0,512.0,-37.8538,145.0459,10412.0,2016,9,0,1,0,0,0,0,1,0,0,520000.0
4648,4,9.2,3146.0,3.0,2.0,366.0,-37.8503,145.0586,10412.0,2016,9,0,0,0,0,0,0,1,0,0,1825000.0
4649,1,9.2,3146.0,1.0,0.0,0.0,-37.8588,145.0512,10412.0,2017,3,0,1,0,0,0,0,1,0,0,328000.0
4653,4,9.2,3146.0,2.0,3.0,733.0,-37.8561,145.0864,10412.0,2017,3,0,0,0,0,0,0,1,0,0,2016000.0
4655,5,9.2,3146.0,3.0,3.0,778.0,-37.8582,145.0715,10412.0,2017,3,0,0,0,0,0,0,1,0,0,3085000.0
4657,3,9.2,3146.0,1.0,3.0,557.0,-37.8556,145.0499,10412.0,2017,3,0,0,0,0,0,0,1,0,0,1710000.0
4658,3,9.2,3146.0,1.0,3.0,603.0,-37.8503,145.0754,10412.0,2017,3,0,0,0,0,0,0,1,0,0,1770000.0
4659,3,9.2,3146.0,1.0,2.0,650.0,-37.8505,145.0852,10412.0,2017,3,0,0,0,0,0,0,1,0,0,1765000.0
4660,2,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,6,0,1,0,0,0,0,1,0,0,545000.0
4664,2,9.2,3146.0,1.0,1.0,0.0,-37.8517,145.0459,10412.0,2016,6,0,1,0,0,0,0,1,0,0,511000.0
4666,3,9.2,3146.0,1.0,2.0,821.0,-37.8581,145.0685,10412.0,2016,6,0,0,0,0,0,0,1,0,0,2000000.0
4667,2,9.2,3146.0,2.0,2.0,718.0,-37.858000000000004,145.0696,10412.0,2016,6,0,0,0,0,0,0,1,0,0,1600000.0
4668,3,9.2,3146.0,2.0,2.0,668.0,-37.8489,145.0711,10412.0,2016,6,0,0,0,0,0,0,1,0,0,1880000.0
4672,5,9.2,3146.0,3.0,2.0,642.0,-37.859,145.0656,10412.0,2016,11,0,0,0,0,0,0,1,0,0,2352500.0
4673,5,9.2,3146.0,4.0,2.0,830.0,-37.8563,145.072,10412.0,2016,11,0,0,0,0,0,0,1,0,0,3860000.0
4674,4,9.2,3146.0,3.0,2.0,840.0,-37.8538,145.0641,10412.0,2016,11,0,0,0,0,0,0,1,0,0,2625000.0
4676,2,9.2,3146.0,1.0,1.0,0.0,-37.8566,145.0553,10412.0,2016,11,0,1,0,0,0,0,1,0,0,856500.0
4678,3,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,5,0,1,0,0,0,0,1,0,0,652000.0
4680,5,9.2,3146.0,2.0,2.0,400.0,-37.8572,145.0555,10412.0,2016,5,0,0,0,0,0,0,1,0,0,1650000.0
4681,2,9.2,3146.0,1.0,1.0,0.0,-37.8506,145.0465,10412.0,2016,8,1,0,0,0,0,0,1,0,0,600000.0
4683,2,9.2,3146.0,1.0,2.0,166.0,-37.863,145.0631,10412.0,2016,9,0,1,0,0,0,0,1,0,0,690000.0
4684,3,9.2,3146.0,2.0,2.0,541.0,-37.8628,145.0486,10412.0,2016,9,1,0,0,0,0,0,1,0,0,1200000.0
4685,4,9.2,3146.0,3.0,2.0,677.0,-37.8476,145.0554,10412.0,2016,9,0,0,0,0,0,0,1,0,0,3010000.0
4686,2,9.2,3146.0,1.0,1.0,0.0,-37.8488,145.0573,10412.0,2016,9,0,1,0,0,0,0,1,0,0,785000.0
4689,4,9.2,3146.0,2.0,2.0,775.0,-37.8561,145.0934,10412.0,2017,2,0,0,0,0,0,0,1,0,0,1950000.0
4690,3,9.2,3146.0,1.0,2.0,700.0,-37.8553,145.0711,10412.0,2017,2,0,0,0,0,0,0,1,0,0,2200000.0
4691,3,9.2,3146.0,1.0,3.0,609.0,-37.8542,145.0733,10412.0,2017,2,0,0,0,0,0,0,1,0,0,1751000.0
4692,4,9.2,3146.0,2.0,3.0,548.0,-37.8536,145.0547,10412.0,2017,2,0,0,0,0,0,0,1,0,0,1857000.0
4693,1,9.2,3146.0,1.0,1.0,602.0,-37.8597,145.0571,10412.0,2017,2,0,1,0,0,0,0,1,0,0,375000.0
4695,2,9.2,3146.0,1.0,2.0,0.0,-37.8468,145.0515,10412.0,2017,2,0,1,0,0,0,0,1,0,0,720000.0
4696,3,9.2,3146.0,1.0,3.0,401.0,-37.8471,145.05100000000002,10412.0,2017,2,0,0,0,0,0,0,1,0,0,1500000.0
4698,4,9.2,3146.0,3.0,2.0,603.0,-37.8521,145.0657,10412.0,2017,2,0,0,0,0,0,0,1,0,0,2725000.0
4699,2,9.2,3146.0,1.0,1.0,553.0,-37.8464,145.0511,10412.0,2016,7,0,0,0,0,0,0,1,0,0,1723000.0
4700,2,9.2,3146.0,1.0,1.0,0.0,-37.8572,145.0423,10412.0,2016,7,0,1,0,0,0,0,1,0,0,529500.0
4701,3,9.2,3146.0,1.0,2.0,762.0,-37.8575,145.0554,10412.0,2016,7,0,0,0,0,0,0,1,0,0,2800000.0
4702,3,9.2,3146.0,1.0,2.0,685.0,-37.8538,145.0842,10412.0,2016,6,0,0,0,0,0,0,1,0,0,1665000.0
4703,2,9.2,3146.0,1.0,1.0,0.0,-37.8555,145.0518,10412.0,2016,6,0,1,0,0,0,0,1,0,0,600000.0
4705,3,9.2,3146.0,1.0,2.0,615.0,-37.8578,145.0919,10412.0,2016,6,0,0,0,0,0,0,1,0,0,1420000.0
4708,3,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,11,1,0,0,0,0,0,1,0,0,1275000.0
4709,3,9.2,3146.0,2.0,2.0,307.0,-37.8531,145.086,10412.0,2016,11,0,0,0,0,0,0,1,0,0,1550000.0
4712,1,9.2,3146.0,1.0,1.0,805.0,-37.8592,145.0484,10412.0,2016,11,0,1,0,0,0,0,1,0,0,420000.0
4713,4,9.2,3146.0,2.0,2.0,706.0,-37.8573,145.0904,10412.0,2016,11,0,0,0,0,0,0,1,0,0,1920000.0
4714,5,9.2,3146.0,3.0,2.0,696.0,-37.8478,145.0566,10412.0,2016,11,0,0,0,0,0,0,1,0,0,2100000.0
4715,5,9.2,3146.0,2.0,2.0,654.0,-37.8515,145.0922,10412.0,2016,11,0,0,0,0,0,0,1,0,0,2410000.0
4719,4,9.2,3146.0,2.0,2.0,645.0,-37.8516,145.061,10412.0,2016,11,0,0,0,0,0,0,1,0,0,2100000.0
4721,4,9.2,3146.0,2.0,2.0,1485.0,-37.8509,145.0856,10412.0,2016,11,0,0,0,0,0,0,1,0,0,2950000.0
4723,2,9.2,3146.0,1.0,1.0,0.0,-37.8497,145.0466,10412.0,2016,5,0,1,0,0,0,0,1,0,0,390000.0
4724,5,9.2,3146.0,2.0,2.0,1339.0,-37.8649,145.0547,10412.0,2016,5,0,0,0,0,0,0,1,0,0,3365000.0
4726,4,9.2,3146.0,2.0,3.0,397.0,-37.8578,145.06799999999998,10412.0,2016,5,0,0,0,0,0,0,1,0,0,1390000.0
4727,4,9.2,3146.0,3.0,2.0,394.0,-37.8523,145.0603,10412.0,2016,5,0,0,0,0,0,0,1,0,0,1802000.0
4729,3,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1950000.0
4730,3,9.2,3146.0,1.0,2.0,464.0,-37.8539,145.0702,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1310000.0
4731,3,9.2,3146.0,2.0,2.0,648.0,-37.8547,145.0771,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1931000.0
4732,4,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1528800.0
4733,4,9.2,3146.0,2.0,4.0,401.0,-37.8583,145.0726,10412.0,2016,8,0,0,0,0,0,0,1,0,0,2000000.0
4734,2,9.2,3146.0,1.0,2.0,438.0,-37.8511,145.0428,10412.0,2016,8,0,0,0,0,0,0,1,0,0,1250000.0
4735,5,9.2,3146.0,3.0,2.0,709.0,-37.8529,145.0806,10412.0,2016,7,0,0,0,0,0,0,1,0,0,2400000.0
4736,2,9.2,3146.0,1.0,1.0,0.0,-37.8578,145.0537,10412.0,2016,7,0,1,0,0,0,0,1,0,0,460000.0
4738,2,9.2,3146.0,1.0,2.0,512.0,-37.80046,145.0032,10412.0,2016,7,0,0,0,0,0,0,1,0,0,1541000.0
4739,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,3,1,0,0,1,0,0,0,0,0,585000.0
4740,3,13.0,3046.0,1.0,2.0,696.0,-37.6972,144.9431,8870.0,2016,3,0,0,0,1,0,0,0,0,0,610000.0
4741,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,3,1,0,0,1,0,0,0,0,0,480000.0
4742,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,3,0,0,0,1,0,0,0,0,0,681500.0
4743,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,3,0,0,0,1,0,0,0,0,0,640000.0
4744,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,3,0,0,0,1,0,0,0,0,0,712000.0
4746,3,13.0,3046.0,1.0,3.0,640.0,-37.6979,144.9335,8870.0,2016,3,0,0,0,1,0,0,0,0,0,610000.0
4747,3,13.0,3046.0,2.0,2.0,244.0,-37.6969,144.9299,8870.0,2016,3,1,0,0,1,0,0,0,0,0,555000.0
4748,3,13.0,3046.0,1.0,1.0,336.0,-37.7088,144.9356,8870.0,2016,3,0,0,0,1,0,0,0,0,0,500000.0
4749,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,3,0,0,0,1,0,0,0,0,0,800000.0
4750,3,13.0,3046.0,1.0,2.0,766.0,-37.6988,144.9372,8870.0,2016,3,0,0,0,1,0,0,0,0,0,806500.0
4752,5,13.0,3046.0,3.0,2.0,700.0,-37.7095,144.9253,8870.0,2016,3,0,0,0,1,0,0,0,0,0,1150000.0
4753,5,13.0,3046.0,3.0,1.0,487.0,-37.7088,144.92600000000002,8870.0,2017,4,0,0,0,1,0,0,0,0,0,850000.0
4755,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,4,1,0,0,1,0,0,0,0,0,565000.0
4756,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,4,0,0,0,1,0,0,0,0,0,758000.0
4757,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,4,0,0,0,1,0,0,0,0,0,590000.0
4758,4,13.0,3046.0,2.0,1.0,683.0,-37.6964,144.9314,8870.0,2017,4,0,0,0,1,0,0,0,0,0,550000.0
4759,3,13.0,3046.0,1.0,4.0,700.0,-37.6988,144.9438,8870.0,2017,4,0,0,0,1,0,0,0,0,0,822000.0
4761,3,13.0,3046.0,2.0,3.0,1029.0,-37.7115,144.9147,8870.0,2017,4,0,0,0,1,0,0,0,0,0,980000.0
4762,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,4,0,0,0,1,0,0,0,0,0,625000.0
4763,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,4,0,0,0,1,0,0,0,0,0,645150.0
4764,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,4,0,0,0,1,0,0,0,0,0,607000.0
4766,3,13.0,3046.0,1.0,1.0,652.0,-37.7062,144.9261,8870.0,2016,6,0,0,0,1,0,0,0,0,0,670000.0
4767,2,13.0,3046.0,1.0,1.0,164.0,-37.7072,144.9252,8870.0,2016,6,0,1,0,1,0,0,0,0,0,430000.0
4768,2,13.0,3046.0,1.0,2.0,832.0,-37.7126,144.9122,8870.0,2016,6,0,0,0,1,0,0,0,0,0,852500.0
4769,4,13.0,3046.0,2.0,4.0,1011.0,-37.711999999999996,144.9127,8870.0,2016,6,0,0,0,1,0,0,0,0,0,1025000.0
4770,2,13.0,3046.0,1.0,1.0,164.0,-37.7082,144.9178,8870.0,2016,7,0,0,0,1,0,0,0,0,0,540000.0
4771,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,7,1,0,0,1,0,0,0,0,0,500000.0
4772,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,7,0,0,0,1,0,0,0,0,0,625000.0
4773,5,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,7,0,0,0,1,0,0,0,0,0,665000.0
4774,2,13.0,3046.0,1.0,2.0,643.0,-37.6978,144.9276,8870.0,2016,7,0,0,0,1,0,0,0,0,0,530000.0
4776,3,13.0,3046.0,1.0,2.0,674.0,-37.7102,144.9362,8870.0,2016,8,0,0,0,1,0,0,0,0,0,721000.0
4777,3,13.0,3046.0,1.0,4.0,640.0,-37.6986,144.9243,8870.0,2016,8,0,0,0,1,0,0,0,0,0,737000.0
4778,3,13.0,3046.0,1.0,1.0,701.0,-37.6953,144.9397,8870.0,2016,8,0,0,0,1,0,0,0,0,0,575500.0
4779,3,13.0,3046.0,1.0,2.0,702.0,-37.6999,144.9387,8870.0,2016,8,0,0,0,1,0,0,0,0,0,600000.0
4780,3,13.0,3046.0,2.0,2.0,224.0,-37.702,144.9507,8870.0,2016,8,0,0,0,1,0,0,0,0,0,460000.0
4781,3,13.0,3046.0,2.0,1.0,259.0,-37.6977,144.9149,8870.0,2016,8,1,0,0,1,0,0,0,0,0,370000.0
4783,3,13.0,3046.0,1.0,2.0,753.0,-37.7065,144.9374,8870.0,2016,10,0,0,0,1,0,0,0,0,0,691000.0
4784,3,13.0,3046.0,1.0,1.0,589.0,-37.6993,144.9393,8870.0,2016,10,0,0,0,1,0,0,0,0,0,500000.0
4785,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,0,0,0,1,0,0,0,0,0,485000.0
4786,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,1,0,0,1,0,0,0,0,0,402000.0
4787,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,0,1,0,1,0,0,0,0,0,541000.0
4788,3,13.0,3046.0,2.0,1.0,136.0,-37.7112,144.9142,8870.0,2016,10,1,0,0,1,0,0,0,0,0,545000.0
4790,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,1,0,0,1,0,0,0,0,0,455000.0
4791,3,13.0,3046.0,1.0,4.0,734.0,-37.7007,144.9378,8870.0,2016,10,0,0,0,1,0,0,0,0,0,670000.0
4792,3,13.0,3046.0,1.0,2.0,627.0,-37.6974,144.9326,8870.0,2016,10,0,0,0,1,0,0,0,0,0,572000.0
4793,4,13.0,3046.0,1.0,4.0,606.0,-37.7104,144.9088,8870.0,2016,10,0,0,0,1,0,0,0,0,0,702000.0
4794,2,13.0,3046.0,1.0,1.0,705.0,-37.705999999999996,144.9245,8870.0,2016,10,0,0,0,1,0,0,0,0,0,730000.0
4795,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,1,0,0,1,0,0,0,0,0,449000.0
4796,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,0,0,0,1,0,0,0,0,0,680000.0
4797,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,1,0,0,1,0,0,0,0,0,410000.0
4798,3,13.0,3046.0,1.0,3.0,667.0,-37.7005,144.9185,8870.0,2016,10,0,0,0,1,0,0,0,0,0,711500.0
4799,3,13.0,3046.0,2.0,4.0,805.0,-37.708,144.9211,8870.0,2016,10,0,0,0,1,0,0,0,0,0,820000.0
4800,5,13.0,3046.0,4.0,4.0,695.0,-37.7028,144.9377,8870.0,2017,11,0,0,0,1,0,0,0,0,0,810000.0
4801,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,11,1,0,0,1,0,0,0,0,0,580000.0
4802,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,12,0,0,0,1,0,0,0,0,0,438000.0
4804,2,13.0,3046.0,1.0,1.0,0.0,-37.711,144.9178,8870.0,2016,12,0,1,0,1,0,0,0,0,0,250000.0
4805,3,13.0,3046.0,1.0,1.0,325.0,-37.7001,144.9291,8870.0,2016,12,1,0,0,1,0,0,0,0,0,460000.0
4806,4,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,12,0,0,0,1,0,0,0,0,0,835000.0
4807,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,12,1,0,0,1,0,0,0,0,0,550000.0
4808,3,13.0,3046.0,1.0,2.0,780.0,-37.7,144.9427,8870.0,2016,12,0,0,0,1,0,0,0,0,0,793000.0
4809,2,13.0,3046.0,1.0,1.0,0.0,-37.7071,144.9176,8870.0,2016,12,0,1,0,1,0,0,0,0,0,340000.0
4810,3,13.0,3046.0,1.0,3.0,624.0,-37.6967,144.9313,8870.0,2016,12,0,0,0,1,0,0,0,0,0,596000.0
4811,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,5,1,0,0,1,0,0,0,0,0,642000.0
4812,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,5,0,0,0,1,0,0,0,0,0,670000.0
4813,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,5,0,0,0,1,0,0,0,0,0,525000.0
4814,3,13.0,3046.0,1.0,1.0,320.0,-37.6949,144.9122,8870.0,2016,10,0,0,0,1,0,0,0,0,0,447500.0
4815,3,13.0,3046.0,1.0,1.0,616.0,-37.7029,144.9053,8870.0,2016,10,0,0,0,1,0,0,0,0,0,588000.0
4818,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,10,0,0,0,1,0,0,0,0,0,695000.0
4819,3,13.0,3046.0,1.0,2.0,0.0,-37.7025,144.9504,8870.0,2016,10,0,0,0,1,0,0,0,0,0,420000.0
4821,2,13.0,3046.0,1.0,2.0,200.0,-37.7002,144.9428,8870.0,2016,10,0,1,0,1,0,0,0,0,0,410000.0
4822,3,13.0,3046.0,1.0,4.0,700.0,-37.7022,144.924,8870.0,2016,10,0,0,0,1,0,0,0,0,0,688000.0
4823,3,13.0,3046.0,2.0,3.0,635.0,-37.7006,144.9239,8870.0,2016,10,0,0,0,1,0,0,0,0,0,612500.0
4824,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,4,1,0,0,1,0,0,0,0,0,545000.0
4825,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,4,0,0,0,1,0,0,0,0,0,570000.0
4826,3,13.0,3046.0,1.0,1.0,665.0,-37.6966,144.9331,8870.0,2016,4,0,0,0,1,0,0,0,0,0,525000.0
4827,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,7,1,0,0,1,0,0,0,0,0,397500.0
4829,3,13.0,3046.0,1.0,4.0,704.0,-37.7021,144.9136,8870.0,2016,9,0,0,0,1,0,0,0,0,0,703000.0
4830,4,13.0,3046.0,2.0,1.0,252.0,-37.7006,144.9299,8870.0,2016,9,1,0,0,1,0,0,0,0,0,608000.0
4831,5,13.0,3046.0,3.0,2.0,612.0,-37.7022,144.9054,8870.0,2016,9,0,0,0,1,0,0,0,0,0,705000.0
4832,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,9,1,0,0,1,0,0,0,0,0,677000.0
4833,2,13.0,3046.0,1.0,1.0,3056.0,-37.7042,144.9214,8870.0,2016,9,0,1,0,1,0,0,0,0,0,320500.0
4835,3,13.0,3046.0,1.0,2.0,706.0,-37.7053,144.9372,8870.0,2017,3,0,0,0,1,0,0,0,0,0,577000.0
4836,4,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,3,0,0,0,1,0,0,0,0,0,920000.0
4837,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2017,3,1,0,0,1,0,0,0,0,0,450000.0
4838,2,13.0,3046.0,1.0,1.0,1996.0,-37.702,144.9154,8870.0,2017,3,0,1,0,1,0,0,0,0,0,230000.0
4839,4,13.0,3046.0,3.0,2.0,0.0,-37.7102,144.9112,8870.0,2017,3,1,0,0,1,0,0,0,0,0,607000.0
4840,3,13.0,3046.0,2.0,2.0,780.0,-37.6955,144.9389,8870.0,2016,6,0,0,0,1,0,0,0,0,0,765500.0
4842,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,6,1,0,0,1,0,0,0,0,0,450000.0
4843,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,6,0,0,0,1,0,0,0,0,0,807000.0
4845,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,6,1,0,0,1,0,0,0,0,0,530000.0
4847,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,6,0,0,0,1,0,0,0,0,0,565000.0
4848,3,13.0,3046.0,1.0,2.0,187.0,-37.7098,144.9163,8870.0,2016,6,0,1,0,1,0,0,0,0,0,470000.0
4849,3,13.0,3046.0,1.0,1.0,265.0,-37.7083,144.9158,8870.0,2016,6,0,1,0,1,0,0,0,0,0,482500.0
4850,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,6,0,0,0,1,0,0,0,0,0,482500.0
4851,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,6,0,0,0,1,0,0,0,0,0,600000.0
4852,3,13.0,3046.0,1.0,2.0,650.0,-37.7002,144.9408,8870.0,2016,11,0,0,0,1,0,0,0,0,0,580000.0
4854,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,11,1,0,0,1,0,0,0,0,0,550000.0
4855,2,13.0,3046.0,1.0,1.0,125.0,-37.7042,144.9211,8870.0,2016,11,1,0,0,1,0,0,0,0,0,434500.0
4856,2,13.0,3046.0,1.0,2.0,253.0,-37.7117,144.9135,8870.0,2016,11,0,1,0,1,0,0,0,0,0,620250.0
4857,3,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,11,0,0,0,1,0,0,0,0,0,480000.0
4858,3,13.0,3046.0,1.0,1.0,796.0,-37.6955,144.9253,8870.0,2016,11,0,0,0,1,0,0,0,0,0,710000.0
4860,4,13.0,3046.0,1.0,2.0,630.0,-37.7002,144.9232,8870.0,2016,5,0,0,0,1,0,0,0,0,0,630000.0
4861,2,13.0,3046.0,1.0,1.0,307.0,-37.7117,144.9348,8870.0,2016,5,1,0,0,1,0,0,0,0,0,420000.0
4862,2,13.0,3046.0,1.0,2.0,512.0,-37.80046,145.0032,8870.0,2016,5,0,0,0,1,0,0,0,0,0,486500.0
4863,3,13.0,3046.0,1.0,4.0,541.0,-37.7051,144.9069,8870.0,2016,5,0,0,0,1,0,0,0,0,0,600000.0
